,연도,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1986년,17.15293339,17.18266118,17.15293339,17.03402224,16.94483888,16.76647215,16.70701658,16.70701658,16.73674436,16.67728879,16.49892206,16.29082755
2,1987년,16.29082755,16.23137198,16.14218861,16.02327746,16.02327746,15.96382189,15.96382189,16.11246083,16.58810543,16.82592773,17.03402224,17.06375003
3,1988년,17.39075569,18.04476701,18.46095604,18.84741728,19.05551179,19.14469515,19.79870648,20.51217338,20.27435108,20.12571214,19.79870648,20.2148955
4,1989년,20.98781798,22.38502399,23.21740204,24.79297478,24.52542469,24.0200523,23.63359107,23.63359107,23.5444077,23.90114115,24.0200523,24.0200523
5,1990년,24.61460805,26.10099743,27.17119778,29.07377618,29.46023742,29.69805972,29.90615423,30.38179883,31.51145475,32.19519387,33.08702749,33.0572997
6,1991년,33.56267209,34.30586678,35.52470607,36.62463421,36.20844518,35.55443385,35.40579492,35.1977004,34.7220558,34.15722784,32.67083847,31.57091033
7,1992년,31.51145475,31.45199918,31.45199918,31.21417688,30.50070998,29.81697087,29.66833193,30.29261547,30.916899,30.73853228,30.53043777,30.2034321
8,1993년,30.32234325,30.79798785,30.70880449,30.4412544,30.14397653,29.78724308,29.69805972,29.63860414,29.54942078,29.4899652,29.46023742,29.37105405
9,1994년,29.43050963,29.60887635,29.63860414,29.60887635,29.54942078,29.51969299,29.51969299,29.54942078,29.7277875,29.7277875,29.7277875,29.7277875
10,1995년,29.7277875,29.75751529,29.81697087,29.93588202,29.81697087,29.81697087,29.78724308,29.90615423,29.93588202,29.81697087,29.75751529,29.7277875
11,1996년,29.81697087,29.87642644,29.90615423,29.90615423,29.87642644,29.87642644,29.90615423,30.05479317,30.4412544,30.50070998,30.64934892,30.97635458
12,1997년,31.95737157,32.55192732,32.46274395,32.40328838,32.31410502,32.31410502,32.31410502,32.49247174,32.87893298,32.87893298,32.73029404,32.5816551
13,1998년,32.13573829,31.42227139,30.23315989,28.80622609,27.73602574,27.26038114,27.49820344,27.88466468,27.64684238,27.14146999,26.90364769,27.8252091
14,1999년,28.68731494,28.80622609,29.0143206,29.16295954,29.40078184,29.60887635,30.08452095,30.76826007,31.33308803,31.30336024,31.1547213,31.30336024
15,2000년,31.66009369,32.13573829,32.43301617,32.43301617,32.40328838,32.40328838,32.70056625,32.87893298,33.08702749,33.26539422,32.99784413,32.61138289
16,2001년,32.64111068,33.02757192,33.32484979,33.68158324,34.18695563,34.93015032,35.9111673,37.27864553,37.93265686,37.99211243,38.08129579,38.91367384
17,2002년,41.44053578,43.25393082,44.77004798,45.18623701,45.42405931,45.78079276,46.96990426,48.75357151,51.13179451,51.16152229,50.86424442,50.89397221
18,2003년,50.06159416,50.21023309,50.50751097,51.45880017,52.76682282,53.24246742,53.58061347,54.22011753,55.56648852,56.95071675,56.53133485,56.07577766
19,2004년,55.91023529,56.2885055,56.60339568,57.01882689,57.11004421,56.97948808,56.76389479,56.42154787,56.23883195,56.01103497,55.72225884,55.50516667
20,2005년,55.3349018,55.91401316,56.19590992,56.85064245,57.40390493,58.66882846,59.80291441,60.06981951,60.17438916,60.06803731,60.21414536,60.54359629
21,2006년,61.1068647,61.7909915,62.88227116,64.3031288,65.59185071,66.01041856,66.18678898,66.35567099,66.76392354,68.23689301,72.48545239,75.14323156
22,2007년,76.46863805,76.70476057,76.8293831,76.82273679,76.66775818,76.70896466,76.94057307,77.10175461,77.2707387,77.47071919,77.71503574,77.82332628
23,2008년,78.19921578,78.61993156,79.70786724,81.28213632,81.96815746,82.38846023,82.5890066,82.5824468,82.5957766,82.34576647,81.65084993,80.3135
24,2009년,79.57848017,79.44403377,79.2425666,79.52054416,79.65754666,80.05468776,80.75942878,81.17240915,82.13459872,82.42187687,82.40461696,82.38200255
25,2010년,82.45508743,82.67610594,82.65952978,82.5171761,82.21617572,81.7514957,81.32228482,80.95284056,80.74740703,80.59896716,80.51815344,80.57475537
26,2011년,80.70030873,80.94322671,81.06139448,81.06649559,80.99842088,80.90339133,80.77243985,80.68410021,80.59648874,80.49316355,80.34803134,80.21938271
27,2012년,80.08906952,79.9777716,79.77933954,79.43304887,79.22449745,78.98130493,78.55710757,78.18886772,77.68379263,77.21259995,76.9072651,76.62597262
28,2013년,76.3392375,76.13942974,75.94376487,75.8473697,75.80621537,75.6482844,75.39764151,75.18098116,75.14262619,75.21314678,75.22074,75.2190795
29,2014년,75.24364517,75.3398718,75.51592616,75.57682087,75.55254191,75.47798828,75.47324114,75.49590348,75.72985667,75.95095478,76.02786309,76.0399188
30,2015년,76.10422661,76.25044595,76.61268622,77.03298793,77.3327487,77.71538278,78.07871838,78.5085985,79.08359884,79.47460647,80.01458927,80.26842718
31,2016년,80.35925709,80.47770821,80.53480648,80.63017224,80.85529765,81.17789736,81.61910559,82.07634265,82.43382302,83.02527027,83.57344084,83.65636631
32,2017년,83.6799009,83.71200463,83.79572518,83.91097389,84.09539181,84.81292036,85.54131534,86.44000681,86.56909473,86.95533755,87.49423221,88.07245502
33,2018년,89.06176489,89.93974605,91.06774604,91.80707568,92.17264591,92.53140597,93.02038679,94.10663827,97.71553091,99.51196956,99.90513422,100.013687
34,2019년,100,99.9081239,99.73924167,99.5953496,99.53468592,99.45894586,0,0,0,0,0,0
