,연도,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1986년,30.04381658,30.04381658,30.00237684,29.83661785,29.58797937,29.38078063,29.29790114,29.29790114,29.29790114,29.1735819,28.92494341,28.71774468
2,1987년,28.71774468,28.63486519,28.4691062,28.3862267,28.34478696,28.17902797,28.13758822,28.17902797,28.88350367,29.13214215,29.25646139,29.29790114
3,1988년,29.50509987,30.29245507,30.91405127,31.49420773,31.53564748,31.53564748,31.82572571,32.48876166,32.32300267,32.24012318,31.82572571,31.95004495
4,1989년,32.44732191,33.9391528,35.26522471,37.00569408,37.04713383,36.7570556,36.59129661,36.63273636,36.7570556,37.00569408,37.25433256,37.25433256
5,1990년,37.87592877,40.11367511,40.9839098,42.84869841,43.09733689,43.18021639,43.38741512,43.76037285,45.08644475,45.70804095,46.24675767,46.28819741
6,1991년,46.66115514,47.24131159,48.27730527,49.43761819,49.10610021,48.60882325,48.52594375,48.31874502,48.11154628,47.65570906,46.28819741,45.29364348
7,1992년,45.1278845,45.08644475,44.92068576,44.67204728,43.84325234,43.18021639,42.76581892,43.0144574,43.67749335,43.47029462,43.18021639,42.84869841
8,1993년,42.84869841,43.09733689,43.0144574,42.76581892,42.47574069,42.10278296,41.93702398,41.85414448,41.77126499,41.68838549,41.56406625,41.48118676
9,1994년,41.52262651,41.68838549,41.605506,41.56406625,41.52262651,41.52262651,41.52262651,41.56406625,41.68838549,41.68838549,41.68838549,41.68838549
10,1995년,41.605506,41.68838549,41.72982524,41.72982524,41.605506,41.605506,41.56406625,41.56406625,41.605506,41.56406625,41.48118676,41.43974701
11,1996년,41.48118676,41.52262651,41.56406625,41.56406625,41.56406625,41.52262651,41.52262651,41.605506,41.85414448,41.85414448,41.93702398,42.06134322
12,1997년,42.68293942,43.05589715,43.05589715,43.0144574,42.97301765,42.97301765,42.9315779,43.0144574,43.22165613,43.26309588,43.13877664,42.89013816
13,1998년,42.43430094,41.85414448,40.44519308,38.58040447,37.71016978,37.13001332,37.25433256,37.50297105,37.42009155,36.96425434,36.71561585,37.21289282
14,1999년,37.79304928,37.79304928,37.87592877,37.79304928,37.91736852,38.04168776,38.29032624,38.82904295,39.24344042,39.28488017,39.20200067,39.28488017
15,2000년,39.45063916,39.78215713,40.11367511,40.23799435,40.23799435,40.23799435,40.40375334,40.56951233,40.81815081,40.94247005,40.77671106,40.48663283
16,2001년,40.44519308,40.69383157,40.94247005,41.23254828,41.68838549,42.22710221,42.9315779,44.05045107,44.87924601,44.96212551,45.08644475,45.70804095
17,2002년,47.40707058,48.98178097,50.30785287,50.92944908,51.3852863,51.67536452,52.7113582,54.07886985,55.86077897,56.06797771,55.94365847,55.98509821
18,2003년,55.57070074,55.77789948,56.1508572,56.89677265,57.80844708,58.18140481,58.49418538,58.89381072,59.7752354,60.67162879,60.2819913,59.86266308
19,2004년,59.73841413,60.0340689,60.33912317,60.57775896,60.62350373,60.47568089,60.28931908,59.97704322,59.7764443,59.53443705,59.28216868,59.02279353
20,2005년,58.85402425,59.21390551,59.41820319,59.8326244,60.20466707,61.03971723,61.87688304,62.1403092,62.3811576,62.38025095,62.4963052,62.7552597
21,2006년,63.14717601,63.63714605,64.3992671,65.39658367,66.35466132,66.82081996,67.04722662,67.29705928,67.8164616,69.13992054,72.44983845,74.59740496
22,2007년,75.7344291,76.04882645,76.32033644,76.49375409,76.55170009,76.76005021,77.14625239,77.38269354,77.7073129,78.01957334,78.38781987,78.63783357
23,2008년,79.1873332,79.71594215,80.87097667,82.20112526,82.90481115,83.4760437,83.79750679,83.97274262,84.13688983,84.04359781,83.61067222,82.59695588
24,2009년,82.04309478,81.9389484,81.77696542,81.99379224,82.06933321,82.3802157,82.9160962,83.36080118,84.29513609,84.70064624,84.76726971,84.78968778
25,2010년,84.88026757,85.08180975,85.15027312,85.10376815,84.91810738,84.63196392,84.33846835,84.04223938,83.89208543,83.78900409,83.74536619,83.78950478
26,2011년,83.91233414,84.12862047,84.32129982,84.36593226,84.37826274,84.35123212,84.27058104,84.24963978,84.22905797,84.19399682,84.12203875,84.02882942
27,2012년,83.95366438,83.87809622,83.7761548,83.55298998,83.42389166,83.25760837,82.91110188,82.67809581,82.32403658,82.02023259,81.81170279,81.60854235
28,2013년,81.42043951,81.27839764,81.12067304,81.0581721,80.99961383,80.8832082,80.68926601,80.53240152,80.52477123,80.57977136,80.57282826,80.57318108
29,2014년,80.58529247,80.65827359,80.79468197,80.83613904,80.82820378,80.77257186,80.77466692,80.79907207,80.97115455,81.13705323,81.21288064,81.21781873
30,2015년,81.26171643,81.38664601,81.67463924,82.02738302,82.29485248,82.6430608,83.00290195,83.35378415,83.77536086,84.13977318,84.56076459,84.74415909
31,2016년,84.82233735,84.91735504,84.99500926,85.07935593,85.2467843,85.49526967,85.81562226,86.14033608,86.40585802,86.83415534,87.2172181,87.29095342
32,2017년,87.3136964,87.34313245,87.41399493,87.50478434,87.64475793,88.12524672,88.67963869,89.2960441,89.42585827,89.70560168,90.10143965,90.50759872
33,2018년,91.14937482,91.78232441,92.62541408,93.27003899,93.6225143,93.98116418,94.53509408,95.29110029,98.00760502,99.41029587,99.80521558,99.96002356
34,2019년,100,99.95318083,99.86853727,99.86891985,99.9187589,100.0369931,0,0,0,0,0,0
