순번,ROUTE_ID,ROUTE_NM,STA_ORDER,STATION_NM,STATION_ID,MOBILE_NO
65001,228000013,22-1,45,추조리,231000052,34103
65002,228000013,22-1,46,동항2리.교동입구,231000051,34087
65003,228000013,22-1,47,양성터미널,231000050,34081
65004,228000013,22-1,48,구장리,231000113,34089
65005,228000013,22-1,49,명당1리,231000112,34097
65006,228000013,22-1,50,흥일농장,231001173,34116
65007,228000013,22-1,51,명당2리,231000111,33360
65008,228000013,22-1,52,소내리,231000110,34149
65009,228000013,22-1,53,신령리입구,231000645,34155
65010,228000013,22-1,54,소내리내곡,231000644,34172
65011,228000013,22-1,55,방죽.모산리입구,231000109,34186
65012,228000013,22-1,56,두원정공,231000642,34562
65013,228000013,22-1,57,공단아파트.강남연립,231000108,33067
65014,228000013,22-1,58,삼양컴택,231000107,33675
65015,228000013,22-1,59,안성제1공단입구,231000316,33077
65016,228000013,22-1,60,개내교.옥산주공아파트,231000315,33087
65017,228000013,22-1,61,이마트앞,231000314,33093
65018,228000013,22-1,62,우남아파트,231000313,33106
65019,228000013,22-1,63,한경대,231000312,33120
65020,228000013,22-1,64,(구)안성터미널,231000302,33134
65021,228000013,22-1,65,성모병원입구,231000301,33169
65022,228000013,22-1,66,국민은행.영동,231000300,33178
65023,228000013,22-1,67,봉남동.모두투어,231000299,33183
65024,228000013,22-1,68,봉산로터리,231001360,34717
65025,228000013,22-1,69,보개우체국,231000283,33203
65026,228000013,22-1,70,안성푸르지오아파트,231000282,33220
65027,228000013,22-1,71,안성종합버스터미널,231001340,34690
65028,228000013,22-1,72,안성터미널(경유),277101938,
65029,228000013,22-1,73,버스터미널입구(경유),277101894,
65030,228000013,22-1,74,안성푸르지오아파트,231000279,33219
65031,228000013,22-1,75,보개우체국.가사동,231000289,33202
65032,228000013,22-1,76,봉산로터리,231001359,34716
65033,228000013,22-1,77,KT안성지사,231000287,33184
65034,228000013,22-1,78,산림조합.영동,231000286,33177
65035,228000013,22-1,79,서인사거리.맥도널드앞,231000285,33165
65036,228000013,22-1,80,(구)안성터미널,231000284,33142
65037,228000013,22-1,81,한경대,231000322,33121
65038,228000013,22-1,82,우남아파트,231000549,33107
65039,228000013,22-1,83,이마트앞,231000321,33096
65040,228000013,22-1,84,신건지동,231000320,33086
65041,228000013,22-1,85,안성제1산업단지,231000319,33080
65042,228000013,22-1,86,농심.대덕우체국,231000106,33076
65043,228000013,22-1,87,모산리입구,231000105,33357
65044,228000013,22-1,88,공단아파트.강남연립,231000640,33066
65045,228000013,22-1,89,두원정공,231000641,34563
65046,228000013,22-1,90,방죽.모산리입구,231000104,34187
65047,228000013,22-1,91,소내리내곡,231000643,34173
65048,228000013,22-1,92,소내리,231000102,34150
65049,228000013,22-1,93,소내교,231001159,34561
65050,228000013,22-1,94,명당2리,231000101,33359
65051,228000013,22-1,95,흥일농장,231001329,33778
65052,228000013,22-1,96,명당1리,231000100,34098
65053,228000013,22-1,97,구장리,231000099,34090
65054,228000013,22-1,98,양성터미널,231000076,34082
65055,228000013,22-1,99,동항2리.교동입구,231000075,34088
65056,228000013,22-1,100,추조리,231000074,34105
65057,228000013,22-1,101,산정리,231000073,34107
65058,228000013,22-1,102,도곡저수지입구,231000072,34559
65059,228000013,22-1,103,이현리,231000071,34112
65060,228000013,22-1,104,세방전지입구,231000070,34557
65061,228000013,22-1,105,장서2리.교회,231000069,34553
65062,228000013,22-1,106,장서리,231000068,34126
65063,228000013,22-1,107,난실리,231000049,34552
65064,228000013,22-1,108,어비리.장율,228000074,47010
65065,228000013,22-1,109,묘봉1리입구,228000073,47006
65066,228000013,22-1,110,에이스상회.곽터마을,228000072,47004
65067,228000013,22-1,111,묘봉2리.곽터,228000071,47002
65068,228000013,22-1,112,이동저수지.송전낚시터,228001292,47013
65069,228000013,22-1,113,성지아파트,228000070,29998
65070,228000013,22-1,114,송전세광아파트후문,228002108,47988
65071,228000013,22-1,115,송전초교.송전바이오고교입구,228000069,29994
65072,228000013,22-1,116,송전터미널,228000217,29992
65073,228000013,22-1,117,화산리,228000216,47191
65074,228000013,22-1,118,마니커입구삼거리,228003594,56692
65075,228000013,22-1,119,미룡마을입구,228000215,29988
65076,228000013,22-1,120,시미1리남진말,228000214,29986
65077,228000013,22-1,121,시미곡,228000213,29984
65078,228000013,22-1,122,덕성1리,228000212,29982
65079,228000013,22-1,123,덕성리세라믹,228001293,29980
65080,228000013,22-1,124,덕성2리.삼배울,228000211,29978
65081,228000013,22-1,125,신창.덕성2리,228000210,47652
65082,228000013,22-1,126,신창,228000209,29974
65083,228000013,22-1,127,천리국민주택,228000208,29972
