순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
1,박미삼거리.국립전통예술중고(중),12654.194,3726.87,191440.9571,438721.9805,117000011,18011
2,곤제마을,12705.301,3744.864,207789.9098,472005.7618,207000396,8545
3,은행나무골,12718.013,3741.258,226484.7668,465374.4424,222001002,49007
4,신평2리.신평교차로,12713.082,3756.408,219170.5948,493380.3969,236000874,40342
5,삼협화학,12636.292,3738.467,165126.7642,460241.5768,232000526,35298
6,은곡마을회관,12647.917,3743.597,182246.7391,469675.5352,219000479,20522
7,윗독정,12712.81,3740.144,218823.2691,463291.419,222000922,49011
8,라온공원,12645.505,3743.754,178706.7171,469976.9767,229001441,30730
9,큰넋고개,12712.818,3749.209,218809.9936,480060.2801,236000900,40358
10,가평고등학교,12730.88,3749.082,245320.3436,479929.1094,239000318,44207
11,삼회분교앞,12723.674,3741.993,234800.6784,466763.9218,239000635,44215
12,에스케이에너지,12640.285,3735.641,170985.1477,454993.0626,168000562,42562
13,금호아파트앞,12712.379,3740.665,218203.8752,464254.6152,222000506,23695
14,문암골,12701.663,3718.545,202459.8333,423318.3254,200000004,1196
15,고색삼거리,12659.319,3715.225,198993.173,417174.4713,201000065,2141
16,우방아파트,12658.492,3716.132,197771.1559,418855.4385,201000137,2106
17,부영5단지,12703.333,3753.817,204883.9697,488572.9792,215000205,16067
18,옥정사거리.e편한세상19단지,12705.047,3748.605,207410.5574,478925.7757,235000542,39749
19,성산교회,12653.046,3753.969,189810.4481,488852.342,229000135,30681
20,장암우성아파트.장암주공2단지,12703.637,3743.454,205347.9608,469397.1687,207000281,8321
21,다락골,12643.48,3744.454,175760.497,471295.6527,229000897,30672
22,골프장,12702.703,3800.055,203941.7884,500070.8654,238000361,43441
23,마을회관,12701.432,3755.521,202102.2044,491717.613,215000197,16223
24,배머리,12650.825,3752.494,186549.885,486128.1937,229000132,30692
25,와촌,12710.505,3740.894,215447.3896,464672.4651,222000690,23769
26,아랫독정리,12711.417,3740.736,216790.2674,464405.3765,222000703,23762
27,돌풍회관,12703.298,3802.996,204813.6899,505580.8324,238000387,43501
28,새꽃마을삼거리,12645.917,3745.38,179320.4039,472983.0853,229000559,30698
29,연평2리와촌마을입구,12710.211,3740.892,214998.2777,464668.345,222000715,23809
30,월문4리,12715.489,3736.456,222798.1464,456480.4653,222000254,23716
31,묘적사입구,12716.369,3736.999,224090.7572,457488.5916,222000806,23710
32,창현초등학교,12718.199,3738.673,226773.514,460592.9337,222000095,23703
33,신령리.누령마을,12713.311,3701.596,219743.2715,391990.7405,231001328,33777
34,보정우체국,12706.976,3719.161,210308.5156,424464.0289,228001717,56711
35,금광면사무소입구,12719.566,3659.906,229027.9726,388888.4959,231001282,34683
