1기 신도시,역 명,일평균 승하차량,2018년 승하차량,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
분당,야탑,59009,21538309,528336,1086000,37.411185,127.128715
분당,서현,56503,20623722,527192,1078555,37.385126,127.123592
분당,판교,44131,16107985,524500,1081300,37.394761,127.111217
분당,미금,35945,13119859,523957,1068933,37.350077,127.10891
분당,수내,28135,10269400,525145,1076772,37.378455,127.114322
분당,이매,10543,3848125,528285,1081810,37.396104,127.12827
일산,대화,27419,10008025,444178,1159423,37.676087,126.747569
일산,백석,23379,8533226,453049,1150265,37.643114,126.78787
일산,주엽,19820,7234466,447158,1157765,37.670072,126.761334
일산,정발산,18750,6843625,449837,1154790,37.659477,126.773359
일산,마두,17047,6222179,450765,1152723,37.652206,126.77762
일산,일산,18652,6808074,449020,1161080,37.682077,126.769846
일산 ,탄현,14675,5356327,447100,1164280,37.694023,126.761086
부천,부천,81410,29714596,451774,1106150,37.48405,126.782686
부천,송내,63972,23349662,445200,1107120,37.4876,126.753664
부천,역곡,61408,22413893,458312,1106430,37.485178,126.811502
부천,소사,25553,9326702,454610,1105667,37.482753,126.79544
부천,중동,19198,7007228,447750,1106820,37.486562,126.764843
부천,신중동,28799,10511576,450320,1111472,37.503048,126.77596
부천,부천시청,25521,9315421,447620,1111872,37.504631,126.763538
부천,춘의,17610,6427347,452720,1111572,37.503663,126.787036
부천,까치울,14368,5244495,458020,1112272,37.506207,126.810939
부천,부천종합운동장,9730,3551543,455120,1111972,37.50538,126.797337
평촌 ,범계,58693,21422856,488992,1079953,37.389793,126.950806
평촌 ,평촌,33389,12187145,491940,1081142,37.394287,126.963883
산본,금정,54418,20307441,487357,1075022,37.372221,126.943429
산본,산본,37455,13671088,484987,1071127,37.358101,126.933274
