읍면동,세대수,인 구 수,남,여,전월말 인구수,전년 12월말 인구수,인구 전월말,인구 전년동기,세대 전월말,세대 전년동기,비고,,,,,,,,,,,,,
봉담읍          ,"26,756 "," 74,009 ","37,410 ","36,599 ","73,945 ","70,163 ",64 ,"3,846 ",104 ,"1,716 ",,,,,,,,,,,,,,
우정읍          ,"8,331 "," 18,107 ","9,715 ","8,392 ","18,091 ","18,030 ",16 ,77 ,43 ,179 ,,,,,,,,,,,,,,
향남읍          ,"34,039 "," 80,328 ","42,559 ","37,769 ","79,993 ","74,856 ",335 ,"5,472 ",201 ,"3,247 ",2007.1.29 향남읍승격,,,,,,,,,,,,,
남양읍          ,"14,313 "," 32,298 ","17,378 ","14,920 ","32,191 ","28,810 ",107 ,"3,488 ",55 ,"1,724 ",2014.10.20 남양읍승격,,,,,,,,,,,,,
매송면          ,"3,640 "," 8,033 ","4,202 ","3,831 ","8,062 ","8,259 ",-29 ,-226 ,-5 ,-35 ,,,,,,,,,,,,,,
비봉면          ,"2,916 "," 5,920 ","3,289 ","2,631 ","5,912 ","5,917 ",8 ,3 ,14 ,66 ,,,,,,,,,,,,,,
마도면          ,"3,409 "," 6,760 ","3,861 ","2,899 ","6,730 ","6,735 ",30 ,25 ,10 ,46 ,,,,,,,,,,,,,,
송산면          ,"5,327 "," 11,235 ","6,007 ","5,228 ","11,230 ","11,259 ",5 ,-24 ,16 ,105 ,,,,,,,,,,,,,,
서신면          ,"3,781 "," 7,117 ","3,920 ","3,197 ","7,116 ","7,001 ",1 ,116 ,-9 ,83 ,,,,,,,,,,,,,,
팔탄면          ,"5,840 "," 10,283 ","6,098 ","4,185 ","10,271 ","10,376 ",12 ,-93 ,6 ,83 ,,,,,,,,,,,,,,
장안면          ,"5,288 "," 10,621 ","6,021 ","4,600 ","10,600 ","10,800 ",21 ,-179 ,26 ,33 ,,,,,,,,,,,,,,
양감면          ,"2,304 "," 4,191 ","2,489 ","1,702 ","4,186 ","4,196 ",5 ,-5 ,0 ,54 ,,,,,,,,,,,,,,
정남면          ,"5,836 "," 11,913 ","6,759 ","5,154 ","11,971 ","12,306 ",-58 ,-393 ,-18 ,-54 ,,,,,,,,,,,,,,
동탄면          ,"7,538 "," 19,615 ","10,125 ","9,490 ","17,784 ","6,510 ","1,831 ","13,105 ",708 ,"4,715 ",,,,,,,,,,,,,,
진안동          ,"17,890 "," 39,096 ","20,834 ","18,262 ","38,799 ","36,635 ",297 ,"2,461 ",159 ,"1,285 ",2006.1.2 태안읍분동,,,,,,,,,,,,,
병점1동         ,"10,571 "," 29,213 ","14,722 ","14,491 ","29,211 ","28,873 ",2 ,340 ,41 ,420 ,,,,,,,,,,,,,,
병점2동         ,"8,826 "," 26,151 ","12,793 ","13,358 ","26,259 ","26,696 ",-108 ,-545 ,-31 ,-56 ,,,,,,,,,,,,,,
반월동          ,"10,049 "," 31,009 ","15,715 ","15,294 ","31,037 ","27,543 ",-28 ,"3,466 ",5 ,"1,303 ",,,,,,,,,,,,,,
기배동          ,"4,889 "," 14,571 ","7,442 ","7,129 ","14,585 ","14,817 ",-14 ,-246 ,9 ,22 ,,,,,,,,,,,,,,
화산동          ,"9,845 "," 24,523 ","12,877 ","11,646 ","24,045 ","23,485 ",478 ,"1,038 ",180 ,603 ,,,,,,,,,,,,,,
동탄1동,"19,598 "," 53,398 ","27,000 ","26,398 ","53,418 ","53,775 ",-20 ,-377 ,39 ,411 ,2007.1.29 동탄동분동,,,,,,,,,,,,,
동탄2동,"11,922 "," 37,353 ","18,396 ","18,957 ","37,451 ","37,762 ",-98 ,-409 ,0 ,86 ,2008.3.3 동탄동분동,,,,,,,,,,,,,
동탄3동,"15,915 "," 43,903 ","22,074 ","21,829 ","43,960 ","44,256 ",-57 ,-353 ,63 ,499 ,2009.6.8 동탄1동분동,,,,,,,,,,,,,
동탄4동,"30,959 "," 91,439 ","45,695 ","45,744 ","90,128 ","71,830 ","1,311 ","19,609 ",450 ,"7,326 ",2015.1.2. 동탄면 분동,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
