행정구역,연령구분,합계
경기도,0세~9세,1251110 
경기도,10세~19세,1439515 
경기도,20세~29세,1687250 
경기도,30세~39세,1955946 
경기도,40세~49세,2312530 
경기도,50세~59세,2025958 
경기도,60세~64세,669996 
경기도,65세이상,1374475 
경기도,합계,12716780 
_수원시(경기),0세~9세,117774 
_수원시(경기),10세~19세,137222 
_수원시(경기),20세~29세,182952 
_수원시(경기),30세~39세,197988 
_수원시(경기),40세~49세,216747 
_수원시(경기),50세~59세,183354 
_수원시(경기),60세~64세,54012 
_수원시(경기),65세이상,103992 
_수원시(경기),합계,1194041 
__장안구(경기수원),0세~9세,26455 
__장안구(경기수원),10세~19세,35873 
__장안구(경기수원),20세~29세,45493 
__장안구(경기수원),30세~39세,41726 
__장안구(경기수원),40세~49세,54706 
__장안구(경기수원),50세~59세,47849 
__장안구(경기수원),60세~64세,14261 
__장안구(경기수원),65세이상,30116 
__장안구(경기수원),합계,296479 
___파장동(경기수원장안),0세~9세,2086 
___파장동(경기수원장안),10세~19세,2427 
___파장동(경기수원장안),20세~29세,3722 
___파장동(경기수원장안),30세~39세,3848 
___파장동(경기수원장안),40세~49세,4387 
___파장동(경기수원장안),50세~59세,4552 
___파장동(경기수원장안),60세~64세,1523 
___파장동(경기수원장안),65세이상,3017 
___파장동(경기수원장안),합계,25562 
___율천동(경기수원장안),0세~9세,4144 
___율천동(경기수원장안),10세~19세,5242 
___율천동(경기수원장안),20세~29세,9403 
___율천동(경기수원장안),30세~39세,6706 
___율천동(경기수원장안),40세~49세,7590 
___율천동(경기수원장안),50세~59세,6088 
___율천동(경기수원장안),60세~64세,1696 
___율천동(경기수원장안),65세이상,3385 
___율천동(경기수원장안),합계,44254 
___정자1동(경기수원장안),0세~9세,3853 
___정자1동(경기수원장안),10세~19세,4338 
___정자1동(경기수원장안),20세~29세,4888 
___정자1동(경기수원장안),30세~39세,5134 
___정자1동(경기수원장안),40세~49세,6777 
___정자1동(경기수원장안),50세~59세,5418 
___정자1동(경기수원장안),60세~64세,1566 
___정자1동(경기수원장안),65세이상,3027 
___정자1동(경기수원장안),합계,35001 
___정자2동(경기수원장안),0세~9세,2842 
___정자2동(경기수원장안),10세~19세,4183 
___정자2동(경기수원장안),20세~29세,4562 
___정자2동(경기수원장안),30세~39세,4670 
___정자2동(경기수원장안),40세~49세,6103 
___정자2동(경기수원장안),50세~59세,5203 
___정자2동(경기수원장안),60세~64세,1617 
___정자2동(경기수원장안),65세이상,3447 
___정자2동(경기수원장안),합계,32627 
___영화동(경기수원장안),0세~9세,1302 
___영화동(경기수원장안),10세~19세,1683 
___영화동(경기수원장안),20세~29세,3064 
___영화동(경기수원장안),30세~39세,3348 
___영화동(경기수원장안),40세~49세,3581 
___영화동(경기수원장안),50세~59세,4282 
___영화동(경기수원장안),60세~64세,1614 
___영화동(경기수원장안),65세이상,3185 
___영화동(경기수원장안),합계,22059 
___송죽동(경기수원장안),0세~9세,1395 
___송죽동(경기수원장안),10세~19세,1956 
___송죽동(경기수원장안),20세~29세,2798 
___송죽동(경기수원장안),30세~39세,2883 
___송죽동(경기수원장안),40세~49세,3225 
___송죽동(경기수원장안),50세~59세,3292 
___송죽동(경기수원장안),60세~64세,1135 
___송죽동(경기수원장안),65세이상,2074 
___송죽동(경기수원장안),합계,18758 
___조원1동(경기수원장안),0세~9세,2513 
___조원1동(경기수원장안),10세~19세,3753 
___조원1동(경기수원장안),20세~29세,4733 
___조원1동(경기수원장안),30세~39세,4220 
___조원1동(경기수원장안),40세~49세,5769 
___조원1동(경기수원장안),50세~59세,5455 
___조원1동(경기수원장안),60세~64세,1692 
___조원1동(경기수원장안),65세이상,3919 
___조원1동(경기수원장안),합계,32054 
___연무동(경기수원장안),0세~9세,1131 
___연무동(경기수원장안),10세~19세,1729 
___연무동(경기수원장안),20세~29세,3086 
___연무동(경기수원장안),30세~39세,2603 
___연무동(경기수원장안),40세~49세,3061 
___연무동(경기수원장안),50세~59세,3702 
___연무동(경기수원장안),60세~64세,1405 
___연무동(경기수원장안),65세이상,3373 
___연무동(경기수원장안),합계,20090 
___정자3동(경기수원장안),0세~9세,5280 
___정자3동(경기수원장안),10세~19세,7932 
___정자3동(경기수원장안),20세~29세,6014 
___정자3동(경기수원장안),30세~39세,5890 
___정자3동(경기수원장안),40세~49세,10519 
___정자3동(경기수원장안),50세~59세,6196 
___정자3동(경기수원장안),60세~64세,1136 
___정자3동(경기수원장안),65세이상,2588 
___정자3동(경기수원장안),합계,45555 
___조원2동(경기수원장안),0세~9세,1909 
___조원2동(경기수원장안),10세~19세,2630 
___조원2동(경기수원장안),20세~29세,3223 
___조원2동(경기수원장안),30세~39세,2424 
___조원2동(경기수원장안),40세~49세,3694 
___조원2동(경기수원장안),50세~59세,3661 
___조원2동(경기수원장안),60세~64세,877 
___조원2동(경기수원장안),65세이상,2101 
___조원2동(경기수원장안),합계,20519 
__권선구(경기수원),0세~9세,36389 
__권선구(경기수원),10세~19세,37881 
__권선구(경기수원),20세~29세,53847 
__권선구(경기수원),30세~39세,62723 
__권선구(경기수원),40세~49세,62209 
__권선구(경기수원),50세~59세,57217 
__권선구(경기수원),60세~64세,17203 
__권선구(경기수원),65세이상,30924 
__권선구(경기수원),합계,358393 
___세류1동(경기수원권선),0세~9세,1056 
___세류1동(경기수원권선),10세~19세,765 
___세류1동(경기수원권선),20세~29세,1713 
___세류1동(경기수원권선),30세~39세,2121 
___세류1동(경기수원권선),40세~49세,1566 
___세류1동(경기수원권선),50세~59세,1889 
___세류1동(경기수원권선),60세~64세,657 
___세류1동(경기수원권선),65세이상,1219 
___세류1동(경기수원권선),합계,10986 
___세류2동(경기수원권선),0세~9세,1695 
___세류2동(경기수원권선),10세~19세,2194 
___세류2동(경기수원권선),20세~29세,4100 
___세류2동(경기수원권선),30세~39세,4376 
___세류2동(경기수원권선),40세~49세,4297 
___세류2동(경기수원권선),50세~59세,4615 
___세류2동(경기수원권선),60세~64세,1709 
___세류2동(경기수원권선),65세이상,3114 
___세류2동(경기수원권선),합계,26100 
___세류3동(경기수원권선),0세~9세,1657 
___세류3동(경기수원권선),10세~19세,2256 
___세류3동(경기수원권선),20세~29세,3347 
___세류3동(경기수원권선),30세~39세,3631 
___세류3동(경기수원권선),40세~49세,4052 
___세류3동(경기수원권선),50세~59세,4171 
___세류3동(경기수원권선),60세~64세,1535 
___세류3동(경기수원권선),65세이상,2931 
___세류3동(경기수원권선),합계,23580 
___평동(경기수원권선),0세~9세,3489 
___평동(경기수원권선),10세~19세,4132 
___평동(경기수원권선),20세~29세,5518 
___평동(경기수원권선),30세~39세,5714 
___평동(경기수원권선),40세~49세,6591 
___평동(경기수원권선),50세~59세,6457 
___평동(경기수원권선),60세~64세,2051 
___평동(경기수원권선),65세이상,3739 
___평동(경기수원권선),합계,37691 
___서둔동(경기수원권선),0세~9세,3477 
___서둔동(경기수원권선),10세~19세,4305 
___서둔동(경기수원권선),20세~29세,6402 
___서둔동(경기수원권선),30세~39세,6834 
___서둔동(경기수원권선),40세~49세,7121 
___서둔동(경기수원권선),50세~59세,6908 
___서둔동(경기수원권선),60세~64세,2354 
___서둔동(경기수원권선),65세이상,4344 
___서둔동(경기수원권선),합계,41745 
___구운동(경기수원권선),0세~9세,2094 
___구운동(경기수원권선),10세~19세,2884 
___구운동(경기수원권선),20세~29세,4547 
___구운동(경기수원권선),30세~39세,4082 
___구운동(경기수원권선),40세~49세,4714 
___구운동(경기수원권선),50세~59세,5039 
___구운동(경기수원권선),60세~64세,1531 
___구운동(경기수원권선),65세이상,2724 
___구운동(경기수원권선),합계,27615 
___권선1동(경기수원권선),0세~9세,1837 
___권선1동(경기수원권선),10세~19세,2382 
___권선1동(경기수원권선),20세~29세,4607 
___권선1동(경기수원권선),30세~39세,4665 
___권선1동(경기수원권선),40세~49세,4234 
___권선1동(경기수원권선),50세~59세,4383 
___권선1동(경기수원권선),60세~64세,1210 
___권선1동(경기수원권선),65세이상,2103 
___권선1동(경기수원권선),합계,25421 
___곡선동(경기수원권선),0세~9세,2511 
___곡선동(경기수원권선),10세~19세,2932 
___곡선동(경기수원권선),20세~29세,6019 
___곡선동(경기수원권선),30세~39세,6666 
___곡선동(경기수원권선),40세~49세,5421 
___곡선동(경기수원권선),50세~59세,4023 
___곡선동(경기수원권선),60세~64세,884 
___곡선동(경기수원권선),65세이상,1468 
___곡선동(경기수원권선),합계,29924 
___입북동(경기수원권선),0세~9세,2608 
___입북동(경기수원권선),10세~19세,2244 
___입북동(경기수원권선),20세~29세,2058 
___입북동(경기수원권선),30세~39세,3234 
___입북동(경기수원권선),40세~49세,3676 
___입북동(경기수원권선),50세~59세,2549 
___입북동(경기수원권선),60세~64세,720 
___입북동(경기수원권선),65세이상,1412 
___입북동(경기수원권선),합계,18501 
___권선2동(경기수원권선),0세~9세,6934 
___권선2동(경기수원권선),10세~19세,6106 
___권선2동(경기수원권선),20세~29세,7317 
___권선2동(경기수원권선),30세~39세,9669 
___권선2동(경기수원권선),40세~49세,8952 
___권선2동(경기수원권선),50세~59세,7547 
___권선2동(경기수원권선),60세~64세,1880 
___권선2동(경기수원권선),65세이상,2642 
___권선2동(경기수원권선),합계,51047 
___금곡동(경기수원권선),0세~9세,4462 
___금곡동(경기수원권선),10세~19세,4612 
___금곡동(경기수원권선),20세~29세,4705 
___금곡동(경기수원권선),30세~39세,5726 
___금곡동(경기수원권선),40세~49세,6820 
___금곡동(경기수원권선),50세~59세,5671 
___금곡동(경기수원권선),60세~64세,1512 
___금곡동(경기수원권선),65세이상,3065 
___금곡동(경기수원권선),합계,36573 
___호매실동(경기수원권선),0세~9세,4569 
___호매실동(경기수원권선),10세~19세,3069 
___호매실동(경기수원권선),20세~29세,3514 
___호매실동(경기수원권선),30세~39세,6005 
___호매실동(경기수원권선),40세~49세,4765 
___호매실동(경기수원권선),50세~59세,3965 
___호매실동(경기수원권선),60세~64세,1160 
___호매실동(경기수원권선),65세이상,2163 
___호매실동(경기수원권선),합계,29210 
__팔달구(경기수원),0세~9세,14826 
__팔달구(경기수원),10세~19세,18986 
__팔달구(경기수원),20세~29세,30140 
__팔달구(경기수원),30세~39세,31309 
__팔달구(경기수원),40세~49세,33879 
__팔달구(경기수원),50세~59세,33576 
__팔달구(경기수원),60세~64세,11989 
__팔달구(경기수원),65세이상,23810 
__팔달구(경기수원),합계,198515 
___지동(경기수원팔달),0세~9세,742 
___지동(경기수원팔달),10세~19세,1164 
___지동(경기수원팔달),20세~29세,1797 
___지동(경기수원팔달),30세~39세,1942 
___지동(경기수원팔달),40세~49세,2343 
___지동(경기수원팔달),50세~59세,2664 
___지동(경기수원팔달),60세~64세,1155 
___지동(경기수원팔달),65세이상,2515 
___지동(경기수원팔달),합계,14322 
___우만1동(경기수원팔달),0세~9세,1567 
___우만1동(경기수원팔달),10세~19세,2135 
___우만1동(경기수원팔달),20세~29세,3541 
___우만1동(경기수원팔달),30세~39세,3726 
___우만1동(경기수원팔달),40세~49세,3770 
___우만1동(경기수원팔달),50세~59세,3834 
___우만1동(경기수원팔달),60세~64세,1386 
___우만1동(경기수원팔달),65세이상,2891 
___우만1동(경기수원팔달),합계,22850 
___우만2동(경기수원팔달),0세~9세,1757 
___우만2동(경기수원팔달),10세~19세,2295 
___우만2동(경기수원팔달),20세~29세,3476 
___우만2동(경기수원팔달),30세~39세,2866 
___우만2동(경기수원팔달),40세~49세,3241 
___우만2동(경기수원팔달),50세~59세,2724 
___우만2동(경기수원팔달),60세~64세,792 
___우만2동(경기수원팔달),65세이상,1509 
___우만2동(경기수원팔달),합계,18660 
___인계동(경기수원팔달),0세~9세,3683 
___인계동(경기수원팔달),10세~19세,3836 
___인계동(경기수원팔달),20세~29세,7133 
___인계동(경기수원팔달),30세~39세,8428 
___인계동(경기수원팔달),40세~49세,7584 
___인계동(경기수원팔달),50세~59세,6821 
___인계동(경기수원팔달),60세~64세,2368 
___인계동(경기수원팔달),65세이상,4088 
___인계동(경기수원팔달),합계,43941 
___매교동(경기수원팔달),0세~9세,511 
___매교동(경기수원팔달),10세~19세,716 
___매교동(경기수원팔달),20세~29세,1444 
___매교동(경기수원팔달),30세~39세,1612 
___매교동(경기수원팔달),40세~49세,1627 
___매교동(경기수원팔달),50세~59세,2108 
___매교동(경기수원팔달),60세~64세,814 
___매교동(경기수원팔달),65세이상,1744 
___매교동(경기수원팔달),합계,10576 
___매산동(경기수원팔달),0세~9세,579 
___매산동(경기수원팔달),10세~19세,691 
___매산동(경기수원팔달),20세~29세,2031 
___매산동(경기수원팔달),30세~39세,1983 
___매산동(경기수원팔달),40세~49세,1707 
___매산동(경기수원팔달),50세~59세,1997 
___매산동(경기수원팔달),60세~64세,811 
___매산동(경기수원팔달),65세이상,1530 
___매산동(경기수원팔달),합계,11329 
___고등동(경기수원팔달),0세~9세,564 
___고등동(경기수원팔달),10세~19세,844 
___고등동(경기수원팔달),20세~29세,1452 
___고등동(경기수원팔달),30세~39세,1536 
___고등동(경기수원팔달),40세~49세,1751 
___고등동(경기수원팔달),50세~59세,1926 
___고등동(경기수원팔달),60세~64세,807 
___고등동(경기수원팔달),65세이상,1749 
___고등동(경기수원팔달),합계,10629 
___화서1동(경기수원팔달),0세~9세,2162 
___화서1동(경기수원팔달),10세~19세,2780 
___화서1동(경기수원팔달),20세~29세,3506 
___화서1동(경기수원팔달),30세~39세,3651 
